Title                                                           15.10.2024 18:00
________________________________________________________________________________

Title


FileName:
  SR_TGA_K001_PP, 15.10.2024 18:00:21
  Sample Weight
SampleID:
  SR_TGA_K001_PP, 4.9292 mg
Texts:

Remarks:
  
Evaluation:
  SR_TGA_K001_PP
Method:
  MT1a SR_PP_cracking
Order Nr:
  
Customer:
  
User:
  thermo
Results:
Curve:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            143            143         60.257         61.917          4.937
            144            144         60.328         62.000        4.93699
            145            145         60.425         62.083          4.937
            146            146         60.521         62.167          4.937
            147            147         60.620         62.250        4.93701
            148            148         60.703         62.333        4.93701
            149            149         60.795         62.417        4.93701
            150            150         60.883         62.500        4.93701
            151            151         60.975         62.583        4.93701
            152            152         61.072         62.667        4.93701
            153            153         61.156         62.750        4.93701
            154            154         61.239         62.833        4.93701
            155            155         61.325         62.917        4.93701
            156            156         61.425         63.000        4.93701
            157            157         61.503         63.083        4.93701
            158            158         61.597         63.167        4.93701
            159            159         61.686         63.250        4.93701
            160            160         61.775         63.333        4.93701
            161            161         61.863         63.417        4.93701
            162            162         61.955         63.500        4.93701
            163            163         62.042         63.583        4.93701
            164            164         62.135         63.667        4.93701
            165            165         62.221         63.750        4.93701
            166            166         62.314         63.833        4.93705
            167            167         62.400         63.917        4.93711
            168            168         62.498         64.000        4.93723
            169            169         62.587         64.083        4.93734
            170            170         62.680         64.167        4.93746
            171            171         62.763         64.250        4.93756
            172            172         62.848         64.333        4.93771
            173            173         62.938         64.417         4.9378
            174            174         63.024         64.500        4.93785
            175            175         63.114         64.583        4.93789
            176            176         63.204         64.667        4.93781
            177            177         63.278         64.750        4.93776
            178            178         63.366         64.833         4.9377
            179            179         63.462         64.917        4.93764
            180            180         63.544         65.000        4.93752
            181            181         63.636         65.083        4.93743
            182            182         63.715         65.167        4.93735
            183            183         63.800         65.250        4.93728
            184            184         63.905         65.333        4.93722
            185            185         63.989         65.417        4.93717
            186            186         64.070         65.500        4.93712
            187            187         64.159         65.583        4.93708
            188            188         64.256         65.667        4.93707
            189            189         64.334         65.750        4.93706
            190            190         64.426         65.833        4.93706
            191            191         64.500         65.917         4.9371
            192            192         64.592         66.000        4.93722
            193            193         64.689         66.083        4.93733
            194            194         64.776         66.167        4.93744
            195            195         64.858         66.250        4.93754
            196            196         64.937         66.333        4.93771
            197            197         65.025         66.417        4.93781
            198            198         65.108         66.500        4.93789
            199            199         65.204         66.583        4.93796
            200            200         65.286         66.667        4.93794
            201            201         65.367         66.750        4.93795
            202            202         65.462         66.833        4.93794
            203            203         65.547         66.917        4.93793
            204            204         65.637         67.000        4.93785
            205            205         65.718         67.083        4.93779
            206            206         65.803         67.167        4.93771
            207            207         65.896         67.250        4.93763
            208            208         65.982         67.333        4.93752
            209            209         66.075         67.417        4.93743
            210            210         66.160         67.500        4.93735
            211            211         66.238         67.583        4.93727
            212            212         66.331         67.667        4.93722
            213            213         66.410         67.750        4.93717
            214            214         66.502         67.833        4.93712
            215            215         66.589         67.917        4.93708
            216            216         66.671         68.000         4.9371
            217            217         66.763         68.083        4.93716
            218            218         66.847         68.167        4.93724
            219            219         66.928         68.250        4.93734
            220            220         67.022         68.333         4.9375
            221            221         67.106         68.417        4.93761
            222            222         67.182         68.500         4.9377
            223            223         67.278         68.583        4.93778
            224            224         67.361         68.667         4.9378
            225            225         67.438         68.750        4.93781
            226            226         67.525         68.833         4.9378
            227            227         67.624         68.917        4.93777
            228            228         67.703         69.000        4.93766
            229            229         67.789         69.083        4.93757
            230            230         67.874         69.167        4.93749
            231            231         67.955         69.250        4.93741
            232            232         68.043         69.333        4.93736
            233            233         68.118         69.417        4.93736
            234            234         68.209         69.500         4.9374
            235            235         68.303         69.583        4.93746
            236            236         68.379         69.667         4.9376
            237            237         68.469         69.750        4.93769
            238            238         68.551         69.833        4.93777
            239            239         68.644         69.917        4.93784
            240            240         68.730         70.000        4.93789
            241            241         68.812         70.083        4.93793
            242            242         68.900         70.167        4.93796
            243            243         68.978         70.250        4.93799
            244            244         69.070         70.333        4.93799
            245            245         69.156         70.417        4.93799
            246            246         69.242         70.500          4.938
            247            247         69.328         70.583        4.93801
            248            248         69.418         70.667          4.938
            249            249         69.502         70.750        4.93801
            250            250         69.589         70.833          4.938
            251            251         69.666         70.917          4.938
            252            252         69.751         71.000        4.93798
            253            253         69.847         71.083        4.93795
            254            254         69.922         71.167        4.93791
            255            255         70.005         71.250        4.93787
            256            256         70.094         71.333        4.93777
            257            257         70.174         71.417        4.93768
            258            258         70.258         71.500        4.93759
            259            259         70.337         71.583         4.9375
            260            260         70.440         71.667         4.9374
            261            261         70.534         71.750        4.93731
            262            262         70.618         71.833        4.93725
            263            263         70.699         71.917        4.93719
            264            264         70.777         72.000        4.93725
            265            265         70.878         72.083        4.93732
            266            266         70.953         72.167         4.9374
            267            267         71.053         72.250        4.93748
            268            268         71.129         72.333        4.93766
            269            269         71.213         72.417        4.93777
            270            270         71.304         72.500        4.93785
            271            271         71.393         72.583        4.93792
            272            272         71.483         72.667        4.93793
            273            273         71.560         72.750        4.93795
            274            274         71.648         72.833        4.93797
            275            275         71.726         72.917        4.93798
            276            276         71.818         73.000        4.93801
            277            277         71.898         73.083        4.93807
            278            278         71.987         73.167        4.93813
            279            279         72.068         73.250        4.93819
            280            280         72.152         73.333        4.93827
            281            281         72.234         73.417         4.9383
            282            282         72.319         73.500         4.9383
            283            283         72.416         73.583         4.9383
            284            284         72.499         73.667        4.93823
            285            285         72.576         73.750        4.93819
            286            286         72.664         73.833        4.93815
            287            287         72.749         73.917        4.93812
            288            288         72.819         74.000         4.9381
            289            289         72.902         74.083        4.93807
            290            290         73.002         74.167        4.93805
            291            291         73.081         74.250        4.93804
            292            292         73.172         74.333        4.93803
            293            293         73.250         74.417        4.93802
            294            294         73.332         74.500        4.93801
            295            295         73.427         74.583          4.938
            296            296         73.512         74.667        4.93797
            297            297         73.585         74.750        4.93793
            298            298         73.686         74.833        4.93788
            299            299         73.763         74.917        4.93783
            300            300         73.851         75.000        4.93772
            301            301         73.929         75.083        4.93763
            302            302         74.028         75.167        4.93754
            303            303         74.105         75.250        4.93745
            304            304         74.190         75.333         4.9374
            305            305         74.277         75.417        4.93741
            306            306         74.352         75.500        4.93744
            307            307         74.430         75.583        4.93749
            308            308         74.523         75.667        4.93764
            309            309         74.628         75.750        4.93773
            310            310         74.709         75.833         4.9378
            311            311         74.780         75.917        4.93787
            312            312         74.876         76.000         4.9379
            313            313         74.960         76.083        4.93794
            314            314         75.046         76.167        4.93797
            315            315         75.130         76.250        4.93799
            316            316         75.208         76.333        4.93799
            317            317         75.291         76.417        4.93799
            318            318         75.381         76.500          4.938
            319            319         75.469         76.583        4.93801
