Title                                                           15.10.2024 18:00
________________________________________________________________________________

Title


FileName:
  SR_TGA_K001_PP, 15.10.2024 18:00:21
  Sample Weight
SampleID:
  SR_TGA_K001_PP, 4.9292 mg
Texts:

Remarks:
  
Evaluation:
  SR_TGA_K001_PP
Method:
  MT1a SR_PP_cracking
Order Nr:
  
Customer:
  
User:
  thermo
Results:
Curve:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
           4097           4097        296.418        291.417        4.88801
           4098           4098        296.509        291.500        4.88801
           4099           4099        296.586        291.583        4.88801
           4100           4100        296.676        291.667        4.88801
           4101           4101        296.754        291.750        4.88801
           4102           4102        296.840        291.833        4.88801
           4103           4103        296.922        291.917        4.88801
           4104           4104        297.007        292.000        4.88801
           4105           4105        297.099        292.083        4.88801
           4106           4106        297.186        292.167        4.88801
           4107           4107        297.264        292.250        4.88801
           4108           4108        297.356        292.333        4.88801
           4109           4109        297.444        292.417        4.88801
           4110           4110        297.521        292.500        4.88801
           4111           4111        297.602        292.583        4.88801
           4112           4112        297.686        292.667        4.88801
           4113           4113        297.780        292.750        4.88801
           4114           4114        297.864        292.833        4.88801
           4115           4115        297.944        292.917          4.888
           4116           4116        298.033        293.000        4.88799
           4117           4117        298.119        293.083        4.88796
           4118           4118        298.208        293.167        4.88792
           4119           4119        298.295        293.250        4.88788
           4120           4120        298.377        293.333        4.88779
           4121           4121        298.462        293.417         4.8877
           4122           4122        298.546        293.500        4.88761
           4123           4123        298.630        293.583        4.88752
           4124           4124        298.721        293.667        4.88741
           4125           4125        298.804        293.750        4.88733
           4126           4126        298.884        293.833        4.88725
           4127           4127        298.967        293.917        4.88718
           4128           4128        299.051        294.000        4.88715
           4129           4129        299.140        294.083        4.88712
           4130           4130        299.224        294.167        4.88708
           4131           4131        299.312        294.250        4.88705
           4132           4132        299.406        294.333        4.88705
           4133           4133        299.486        294.417        4.88703
           4134           4134        299.573        294.500        4.88699
           4135           4135        299.665        294.583        4.88693
           4136           4136        299.741        294.667        4.88681
           4137           4137        299.827        294.750        4.88669
           4138           4138        299.911        294.833        4.88658
           4139           4139        299.990        294.917        4.88647
           4140           4140        300.087        295.000        4.88631
           4141           4141        300.169        295.083        4.88621
           4142           4142        300.254        295.167        4.88613
           4143           4143        300.327        295.250        4.88606
           4144           4144        300.417        295.333        4.88607
           4145           4145        300.504        295.417        4.88605
           4146           4146        300.588        295.500        4.88603
           4147           4147        300.677        295.583        4.88601
           4148           4148        300.762        295.667        4.88602
           4149           4149        300.845        295.750        4.88601
           4150           4150        300.926        295.833        4.88601
           4151           4151        301.016        295.917        4.88601
           4152           4152        301.096        296.000        4.88601
           4153           4153        301.183        296.083        4.88601
           4154           4154        301.267        296.167        4.88601
           4155           4155        301.347        296.250        4.88601
           4156           4156        301.434        296.333        4.88601
           4157           4157        301.517        296.417        4.88601
           4158           4158        301.608        296.500        4.88601
           4159           4159        301.693        296.583        4.88601
           4160           4160        301.776        296.667        4.88601
           4161           4161        301.858        296.750        4.88601
           4162           4162        301.941        296.833        4.88601
           4163           4163        302.023        296.917        4.88601
           4164           4164        302.108        297.000        4.88601
           4165           4165        302.195        297.083        4.88601
           4166           4166        302.284        297.167        4.88601
           4167           4167        302.367        297.250        4.88601
           4168           4168        302.455        297.333        4.88601
           4169           4169        302.534        297.417        4.88601
           4170           4170        302.621        297.500        4.88601
           4171           4171        302.708        297.583        4.88601
           4172           4172        302.788        297.667        4.88599
           4173           4173        302.874        297.750        4.88594
           4174           4174        302.961        297.833        4.88583
           4175           4175        303.046        297.917        4.88569
           4176           4176        303.130        298.000        4.88548
           4177           4177        303.212        298.083        4.88529
           4178           4178        303.299        298.167         4.8851
           4179           4179        303.383        298.250        4.88492
           4180           4180        303.466        298.333        4.88472
           4181           4181        303.550        298.417        4.88456
           4182           4182        303.634        298.500        4.88442
           4183           4183        303.717        298.583        4.88429
           4184           4184        303.813        298.667        4.88425
           4185           4185        303.895        298.750        4.88419
           4186           4186        303.984        298.833        4.88413
           4187           4187        304.067        298.917        4.88408
           4188           4188        304.152        299.000        4.88408
           4189           4189        304.229        299.083        4.88406
           4190           4190        304.316        299.167        4.88404
           4191           4191        304.401        299.250        4.88402
           4192           4192        304.489        299.333        4.88402
           4193           4193        304.571        299.417        4.88402
           4194           4194        304.656        299.500        4.88401
           4195           4195        304.742        299.583        4.88401
           4196           4196        304.834        299.667        4.88401
           4197           4197        304.919        299.750        4.88401
           4198           4198        305.006        299.833        4.88401
           4199           4199        305.089        299.917        4.88401
           4200           4200        305.173        300.000        4.88401
           4201           4201        305.258        300.083        4.88401
           4202           4202        305.348        300.167        4.88401
           4203           4203        305.424        300.250        4.88401
           4204           4204        305.504        300.333        4.88401
           4205           4205        305.591        300.417        4.88401
           4206           4206        305.682        300.500        4.88401
           4207           4207        305.761        300.583        4.88401
           4208           4208        305.849        300.667        4.88401
           4209           4209        305.932        300.750        4.88401
           4210           4210        306.022        300.833        4.88401
           4211           4211        306.108        300.917        4.88401
           4212           4212        306.183        301.000        4.88401
           4213           4213        306.266        301.083        4.88401
           4214           4214        306.358        301.167        4.88401
           4215           4215        306.445        301.250        4.88401
           4216           4216        306.533        301.333        4.88401
           4217           4217        306.619        301.417        4.88401
           4218           4218        306.695        301.500        4.88401
           4219           4219        306.785        301.583        4.88401
           4220           4220        306.867        301.667        4.88401
           4221           4221        306.954        301.750        4.88401
           4222           4222        307.030        301.833        4.88401
           4223           4223        307.124        301.917        4.88401
           4224           4224        307.203        302.000        4.88398
           4225           4225        307.292        302.083        4.88392
           4226           4226        307.375        302.167        4.88382
           4227           4227        307.457        302.250        4.88371
           4228           4228        307.545        302.333        4.88355
           4229           4229        307.628        302.417        4.88343
           4230           4230        307.716        302.500        4.88332
           4231           4231        307.805        302.583        4.88323
           4232           4232        307.889        302.667        4.88317
           4233           4233        307.971        302.750        4.88312
           4234           4234        308.051        302.833        4.88307
           4235           4235        308.139        302.917        4.88303
           4236           4236        308.223        303.000        4.88304
           4237           4237        308.310        303.083        4.88303
           4238           4238        308.400        303.167        4.88302
           4239           4239        308.485        303.250        4.88301
           4240           4240        308.571        303.333        4.88301
           4241           4241        308.656        303.417        4.88299
           4242           4242        308.739        303.500        4.88297
           4243           4243        308.820        303.583        4.88294
           4244           4244        308.907        303.667        4.88288
           4245           4245        308.997        303.750        4.88281
           4246           4246        309.075        303.833        4.88273
           4247           4247        309.164        303.917        4.88265
           4248           4248        309.240        304.000        4.88254
           4249           4249        309.322        304.083        4.88245
           4250           4250        309.415        304.167        4.88237
           4251           4251        309.496        304.250        4.88229
           4252           4252        309.588        304.333        4.88223
           4253           4253        309.670        304.417        4.88218
           4254           4254        309.752        304.500        4.88213
           4255           4255        309.839        304.583        4.88209
           4256           4256        309.928        304.667        4.88208
           4257           4257        310.011        304.750        4.88206
           4258           4258        310.095        304.833        4.88204
           4259           4259        310.183        304.917        4.88203
           4260           4260        310.266        305.000        4.88203
           4261           4261        310.354        305.083        4.88202
           4262           4262        310.433        305.167        4.88202
           4263           4263        310.523        305.250        4.88201
           4264           4264        310.611        305.333        4.88201
           4265           4265        310.687        305.417        4.88201
           4266           4266        310.777        305.500        4.88201
           4267           4267        310.859        305.583        4.88201
           4268           4268        310.945        305.667        4.88201
           4269           4269        311.029        305.750        4.88201
           4270           4270        311.118        305.833        4.88201
           4271           4271        311.200        305.917        4.88201
           4272           4272        311.284        306.000        4.88201
           4273           4273        311.366        306.083        4.88201
           4274           4274        311.452        306.167        4.88201
           4275           4275        311.534        306.250        4.88201
           4276           4276        311.622        306.333        4.88201
           4277           4277        311.703        306.417        4.88201
           4278           4278        311.793        306.500        4.88201
           4279           4279        311.868        306.583        4.88201
           4280           4280        311.963        306.667        4.88201
           4281           4281        312.047        306.750        4.88201
           4282           4282        312.124        306.833        4.88201
           4283           4283        312.215        306.917        4.88201
           4284           4284        312.296        307.000        4.88194
           4285           4285        312.385        307.083        4.88184
           4286           4286        312.463        307.167        4.88173
           4287           4287        312.552        307.250        4.88162
           4288           4288        312.638        307.333        4.88143
           4289           4289        312.721        307.417        4.88131
           4290           4290        312.809        307.500        4.88122
           4291           4291        312.892        307.583        4.88113
           4292           4292        312.981        307.667        4.88112
           4293           4293        313.057        307.750        4.88108
           4294           4294        313.143        307.833        4.88105
           4295           4295        313.231        307.917        4.88102
           4296           4296        313.307        308.000        4.88103
           4297           4297        313.400        308.083        4.88102
           4298           4298        313.487        308.167        4.88101
           4299           4299        313.566        308.250        4.88101
           4300           4300        313.651        308.333        4.88101
           4301           4301        313.738        308.417        4.88101
           4302           4302        313.822        308.500        4.88101
           4303           4303        313.900        308.583        4.88101
           4304           4304        313.992        308.667        4.88101
           4305           4305        314.071        308.750        4.88101
           4306           4306        314.156        308.833        4.88101
           4307           4307        314.247        308.917          4.881
           4308           4308        314.334        309.000        4.88098
           4309           4309        314.422        309.083        4.88095
           4310           4310        314.505        309.167        4.88091
           4311           4311        314.586        309.250        4.88085
           4312           4312        314.670        309.333        4.88075
           4313           4313        314.761        309.417        4.88067
           4314           4314        314.841        309.500        4.88058
           4315           4315        314.923        309.583        4.88048
           4316           4316        315.014        309.667        4.88038
           4317           4317        315.097        309.750         4.8803
           4318           4318        315.177        309.833        4.88023
           4319           4319        315.261        309.917        4.88016
           4320           4320        315.349        310.000        4.88014
           4321           4321        315.434        310.083         4.8801
           4322           4322        315.522        310.167        4.88007
           4323           4323        315.603        310.250        4.88004
           4324           4324        315.689        310.333        4.88004
           4325           4325        315.775        310.417        4.88003
           4326           4326        315.854        310.500        4.88002
           4327           4327        315.936        310.583        4.88002
           4328           4328        316.027        310.667        4.88002
           4329           4329        316.110        310.750        4.88001
           4330           4330        316.194        310.833        4.88001
           4331           4331        316.283        310.917        4.88001
           4332           4332        316.370        311.000        4.88001
           4333           4333        316.452        311.083        4.88001
           4334           4334        316.539        311.167        4.88001
           4335           4335        316.623        311.250        4.88001
           4336           4336        316.707        311.333        4.88001
           4337           4337        316.795        311.417        4.88001
           4338           4338        316.872        311.500        4.88001
           4339           4339        316.960        311.583        4.88001
           4340           4340        317.041        311.667        4.88001
           4341           4341        317.128        311.750        4.88001
           4342           4342        317.219        311.833        4.88001
           4343           4343        317.302        311.917        4.88001
           4344           4344        317.385        312.000        4.87994
           4345           4345        317.471        312.083        4.87984
           4346           4346        317.552        312.167        4.87973
           4347           4347        317.638        312.250        4.87962
           4348           4348        317.720        312.333        4.87944
           4349           4349        317.809        312.417        4.87931
           4350           4350        317.891        312.500        4.87922
           4351           4351        317.978        312.583        4.87913
           4352           4352        318.060        312.667        4.87912
           4353           4353        318.142        312.750        4.87908
           4354           4354        318.231        312.833        4.87905
           4355           4355        318.317        312.917        4.87902
           4356           4356        318.399        313.000        4.87903
           4357           4357        318.487        313.083        4.87902
           4358           4358        318.571        313.167        4.87902
           4359           4359        318.659        313.250        4.87901
           4360           4360        318.738        313.333        4.87901
           4361           4361        318.822        313.417        4.87901
           4362           4362        318.907        313.500        4.87901
           4363           4363        318.995        313.583        4.87901
           4364           4364        319.077        313.667          4.879
           4365           4365        319.163        313.750        4.87898
           4366           4366        319.250        313.833        4.87895
           4367           4367        319.334        313.917        4.87892
           4368           4368        319.409        314.000        4.87884
           4369           4369        319.496        314.083        4.87876
           4370           4370        319.578        314.167        4.87868
           4371           4371        319.658        314.250        4.87859
           4372           4372        319.753        314.333        4.87848
           4373           4373        319.833        314.417        4.87839
           4374           4374        319.926        314.500        4.87831
           4375           4375        320.013        314.583        4.87823
           4376           4376        320.101        314.667        4.87819
           4377           4377        320.181        314.750        4.87814
           4378           4378        320.270        314.833         4.8781
           4379           4379        320.349        314.917        4.87807
           4380           4380        320.437        315.000        4.87806
           4381           4381        320.519        315.083        4.87804
           4382           4382        320.599        315.167        4.87798
           4383           4383        320.688        315.250         4.8779
           4384           4384        320.771        315.333        4.87777
           4385           4385        320.854        315.417        4.87765
           4386           4386        320.946        315.500        4.87754
           4387           4387        321.033        315.583        4.87743
           4388           4388        321.124        315.667        4.87729
           4389           4389        321.201        315.750        4.87719
           4390           4390        321.283        315.833        4.87712
           4391           4391        321.367        315.917        4.87705
           4392           4392        321.453        316.000        4.87706
           4393           4393        321.542        316.083        4.87705
           4394           4394        321.625        316.167        4.87703
           4395           4395        321.704        316.250        4.87701
           4396           4396        321.788        316.333        4.87702
           4397           4397        321.875        316.417        4.87701
           4398           4398        321.962        316.500        4.87701
           4399           4399        322.045        316.583        4.87701
           4400           4400        322.123        316.667        4.87701
           4401           4401        322.217        316.750        4.87701
           4402           4402        322.298        316.833        4.87701
           4403           4403        322.390        316.917        4.87701
           4404           4404        322.471        317.000        4.87701
           4405           4405        322.549        317.083        4.87701
           4406           4406        322.635        317.167        4.87701
           4407           4407        322.725        317.250        4.87701
           4408           4408        322.805        317.333        4.87701
           4409           4409        322.892        317.417        4.87701
           4410           4410        322.975        317.500        4.87701
           4411           4411        323.062        317.583        4.87701
           4412           4412        323.147        317.667        4.87701
           4413           4413        323.234        317.750        4.87701
           4414           4414        323.311        317.833        4.87701
           4415           4415        323.404        317.917        4.87701
           4416           4416        323.482        318.000        4.87701
           4417           4417        323.563        318.083        4.87701
           4418           4418        323.648        318.167        4.87701
           4419           4419        323.735        318.250        4.87701
           4420           4420        323.824        318.333        4.87701
           4421           4421        323.909        318.417        4.87701
           4422           4422        323.991        318.500        4.87701
           4423           4423        324.080        318.583        4.87701
           4424           4424        324.161        318.667        4.87701
           4425           4425        324.244        318.750        4.87701
           4426           4426        324.326        318.833        4.87701
           4427           4427        324.415        318.917        4.87701
           4428           4428        324.499        319.000          4.877
           4429           4429        324.582        319.083        4.87696
           4430           4430        324.667        319.167        4.87687
           4431           4431        324.749        319.250        4.87677
           4432           4432        324.835        319.333         4.8766
           4433           4433        324.926        319.417        4.87645
           4434           4434        325.005        319.500         4.8763
           4435           4435        325.087        319.583        4.87615
           4436           4436        325.176        319.667        4.87596
           4437           4437        325.250        319.750         4.8758
           4438           4438        325.345        319.833        4.87566
           4439           4439        325.427        319.917        4.87552
           4440           4440        325.505        320.000        4.87542
           4441           4441        325.587        320.083        4.87532
           4442           4442        325.673        320.167        4.87524
           4443           4443        325.755        320.250        4.87516
           4444           4444        325.849        320.333        4.87514
           4445           4445        325.938        320.417        4.87511
           4446           4446        326.016        320.500        4.87507
           4447           4447        326.107        320.583        4.87504
           4448           4448        326.190        320.667        4.87504
           4449           4449        326.269        320.750        4.87503
           4450           4450        326.357        320.833        4.87502
           4451           4451        326.441        320.917        4.87502
           4452           4452        326.527        321.000        4.87502
           4453           4453        326.615        321.083        4.87501
           4454           4454        326.693        321.167        4.87501
           4455           4455        326.776        321.250        4.87501
           4456           4456        326.861        321.333        4.87501
           4457           4457        326.944        321.417        4.87501
           4458           4458        327.032        321.500        4.87501
           4459           4459        327.124        321.583        4.87501
           4460           4460        327.205        321.667        4.87501
           4461           4461        327.288        321.750        4.87501
           4462           4462        327.375        321.833        4.87501
           4463           4463        327.461        321.917        4.87501
           4464           4464        327.548        322.000        4.87501
           4465           4465        327.623        322.083        4.87501
           4466           4466        327.715        322.167        4.87501
           4467           4467        327.807        322.250        4.87501
           4468           4468        327.887        322.333        4.87501
           4469           4469        327.969        322.417        4.87501
           4470           4470        328.059        322.500        4.87501
           4471           4471        328.140        322.583        4.87501
           4472           4472        328.230        322.667        4.87501
           4473           4473        328.314        322.750        4.87501
           4474           4474        328.397        322.833        4.87501
           4475           4475        328.482        322.917        4.87501
           4476           4476        328.564        323.000        4.87501
           4477           4477        328.648        323.083        4.87501
           4478           4478        328.733        323.167          4.875
           4479           4479        328.821        323.250        4.87497
           4480           4480        328.902        323.333        4.87488
           4481           4481        328.981        323.417        4.87477
           4482           4482        329.068        323.500        4.87466
           4483           4483        329.153        323.583        4.87455
           4484           4484        329.235        323.667        4.87437
           4485           4485        329.325        323.750        4.87426
           4486           4486        329.409        323.833        4.87417
           4487           4487        329.489        323.917        4.87409
           4488           4488        329.574        324.000        4.87409
           4489           4489        329.658        324.083        4.87406
           4490           4490        329.749        324.167        4.87404
           4491           4491        329.826        324.250        4.87402
           4492           4492        329.917        324.333        4.87402
           4493           4493        330.001        324.417        4.87402
           4494           4494        330.089        324.500        4.87401
           4495           4495        330.163        324.583        4.87401
           4496           4496        330.249        324.667        4.87401
           4497           4497        330.337        324.750        4.87401
           4498           4498        330.415        324.833        4.87401
           4499           4499        330.505        324.917        4.87401
           4500           4500        330.589        325.000        4.87401
           4501           4501        330.671        325.083        4.87401
           4502           4502        330.756        325.167        4.87401
           4503           4503        330.841        325.250        4.87401
           4504           4504        330.927        325.333        4.87401
           4505           4505        331.015        325.417        4.87401
           4506           4506        331.099        325.500        4.87401
           4507           4507        331.182        325.583        4.87401
           4508           4508        331.259        325.667        4.87401
           4509           4509        331.347        325.750        4.87401
           4510           4510        331.437        325.833        4.87401
           4511           4511        331.527        325.917        4.87401
           4512           4512        331.604        326.000          4.874
           4513           4513        331.682        326.083        4.87397
           4514           4514        331.772        326.167         4.8739
           4515           4515        331.855        326.250         4.8738
           4516           4516        331.942        326.333        4.87366
           4517           4517        332.024        326.417        4.87354
           4518           4518        332.107        326.500        4.87342
           4519           4519        332.192        326.583         4.8733
           4520           4520        332.279        326.667        4.87316
           4521           4521        332.360        326.750        4.87304
           4522           4522        332.443        326.833        4.87292
           4523           4523        332.530        326.917         4.8728
           4524           4524        332.613        327.000         4.8727
           4525           4525        332.698        327.083         4.8726
           4526           4526        332.785        327.167        4.87249
           4527           4527        332.870        327.250         4.8724
           4528           4528        332.956        327.333        4.87232
           4529           4529        333.045        327.417        4.87224
           4530           4530        333.127        327.500        4.87218
           4531           4531        333.203        327.583        4.87212
           4532           4532        333.290        327.667        4.87211
           4533           4533        333.377        327.750        4.87208
           4534           4534        333.460        327.833        4.87206
           4535           4535        333.549        327.917        4.87203
           4536           4536        333.628        328.000        4.87203
           4537           4537        333.716        328.083        4.87203
           4538           4538        333.806        328.167        4.87202
           4539           4539        333.894        328.250        4.87201
           4540           4540        333.971        328.333        4.87201
           4541           4541        334.058        328.417        4.87201
           4542           4542        334.143        328.500        4.87201
           4543           4543        334.227        328.583        4.87201
           4544           4544        334.310        328.667        4.87201
           4545           4545        334.392        328.750        4.87201
           4546           4546        334.477        328.833        4.87201
           4547           4547        334.558        328.917        4.87201
           4548           4548        334.644        329.000        4.87197
           4549           4549        334.733        329.083        4.87189
           4550           4550        334.814        329.167        4.87178
           4551           4551        334.901        329.250        4.87167
           4552           4552        334.984        329.333         4.8715
           4553           4553        335.064        329.417        4.87138
           4554           4554        335.152        329.500        4.87128
           4555           4555        335.234        329.583        4.87119
           4556           4556        335.315        329.667        4.87115
           4557           4557        335.405        329.750         4.8711
           4558           4558        335.482        329.833        4.87106
           4559           4559        335.570        329.917        4.87103
           4560           4560        335.660        330.000        4.87104
           4561           4561        335.743        330.083        4.87103
           4562           4562        335.828        330.167        4.87102
           4563           4563        335.909        330.250        4.87101
           4564           4564        335.998        330.333        4.87101
           4565           4565        336.085        330.417        4.87101
           4566           4566        336.168        330.500        4.87101
           4567           4567        336.254        330.583        4.87101
           4568           4568        336.332        330.667        4.87101
           4569           4569        336.415        330.750        4.87101
           4570           4570        336.499        330.833          4.871
           4571           4571        336.580        330.917          4.871
           4572           4572        336.672        331.000        4.87097
           4573           4573        336.756        331.083        4.87094
           4574           4574        336.836        331.167        4.87089
           4575           4575        336.923        331.250        4.87084
           4576           4576        337.002        331.333        4.87074
           4577           4577        337.081        331.417        4.87065
           4578           4578        337.169        331.500        4.87056
           4579           4579        337.249        331.583        4.87047
           4580           4580        337.340        331.667        4.87036
           4581           4581        337.428        331.750        4.87028
           4582           4582        337.509        331.833        4.87021
           4583           4583        337.600        331.917        4.87015
           4584           4584        337.684        332.000        4.87013
           4585           4585        337.768        332.083        4.87009
           4586           4586        337.856        332.167        4.87007
           4587           4587        337.937        332.250        4.87004
           4588           4588        338.022        332.333        4.87004
           4589           4589        338.101        332.417        4.87003
           4590           4590        338.187        332.500        4.87001
           4591           4591        338.275        332.583        4.86996
           4592           4592        338.359        332.667        4.86984
           4593           4593        338.442        332.750        4.86973
           4594           4594        338.527        332.833        4.86961
           4595           4595        338.607        332.917         4.8695
           4596           4596        338.701        333.000        4.86933
           4597           4597        338.781        333.083        4.86922
           4598           4598        338.869        333.167        4.86914
           4599           4599        338.944        333.250        4.86906
           4600           4600        339.034        333.333        4.86907
           4601           4601        339.118        333.417        4.86905
           4602           4602        339.202        333.500        4.86903
           4603           4603        339.293        333.583        4.86901
           4604           4604        339.369        333.667        4.86902
           4605           4605        339.454        333.750        4.86901
           4606           4606        339.543        333.833        4.86901
           4607           4607        339.624        333.917        4.86901
           4608           4608        339.705        334.000        4.86901
           4609           4609        339.787        334.083        4.86901
           4610           4610        339.877        334.167        4.86901
           4611           4611        339.969        334.250        4.86901
           4612           4612        340.045        334.333        4.86901
           4613           4613        340.132        334.417        4.86901
           4614           4614        340.223        334.500        4.86901
           4615           4615        340.298        334.583        4.86901
           4616           4616        340.383        334.667        4.86896
           4617           4617        340.467        334.750        4.86887
           4618           4618        340.561        334.833        4.86876
           4619           4619        340.640        334.917        4.86864
           4620           4620        340.722        335.000        4.86843
           4621           4621        340.809        335.083        4.86826
           4622           4622        340.894        335.167        4.86811
           4623           4623        340.979        335.250        4.86796
           4624           4624        341.059        335.333        4.86781
           4625           4625        341.147        335.417        4.86768
           4626           4626        341.238        335.500        4.86755
           4627           4627        341.314        335.583        4.86743
           4628           4628        341.407        335.667        4.86735
           4629           4629        341.485        335.750        4.86727
           4630           4630        341.565        335.833         4.8672
           4631           4631        341.650        335.917        4.86713
           4632           4632        341.738        336.000        4.86712
           4633           4633        341.820        336.083        4.86709
           4634           4634        341.900        336.167        4.86706
           4635           4635        341.984        336.250        4.86704
           4636           4636        342.075        336.333        4.86704
           4637           4637        342.163        336.417        4.86703
           4638           4638        342.243        336.500        4.86702
           4639           4639        342.325        336.583        4.86701
           4640           4640        342.410        336.667        4.86701
           4641           4641        342.495        336.750        4.86701
           4642           4642        342.579        336.833        4.86701
           4643           4643        342.664        336.917        4.86701
           4644           4644        342.749        337.000        4.86701
           4645           4645        342.838        337.083        4.86701
           4646           4646        342.923        337.167        4.86701
           4647           4647        343.004        337.250        4.86701
           4648           4648        343.093        337.333        4.86698
           4649           4649        343.181        337.417        4.86692
           4650           4650        343.258        337.500        4.86682
           4651           4651        343.344        337.583        4.86671
           4652           4652        343.432        337.667        4.86655
           4653           4653        343.519        337.750        4.86643
           4654           4654        343.602        337.833        4.86632
           4655           4655        343.685        337.917        4.86623
           4656           4656        343.772        338.000        4.86617
           4657           4657        343.852        338.083        4.86612
           4658           4658        343.936        338.167        4.86607
           4659           4659        344.021        338.250        4.86603
           4660           4660        344.111        338.333        4.86604
           4661           4661        344.196        338.417        4.86603
           4662           4662        344.278        338.500        4.86602
           4663           4663        344.359        338.583        4.86601
           4664           4664        344.440        338.667        4.86601
           4665           4665        344.528        338.750        4.86601
           4666           4666        344.610        338.833        4.86601
           4667           4667        344.693        338.917        4.86601
           4668           4668        344.780        339.000        4.86601
           4669           4669        344.864        339.083        4.86601
           4670           4670        344.954        339.167        4.86601
           4671           4671        345.038        339.250        4.86601
           4672           4672        345.116        339.333        4.86601
           4673           4673        345.196        339.417        4.86601
           4674           4674        345.287        339.500        4.86601
           4675           4675        345.366        339.583        4.86601
           4676           4676        345.454        339.667        4.86601
           4677           4677        345.537        339.750        4.86601
           4678           4678        345.619        339.833        4.86601
           4679           4679        345.707        339.917        4.86601
           4680           4680        345.791        340.000        4.86601
           4681           4681        345.876        340.083        4.86601
           4682           4682        345.957        340.167        4.86601
           4683           4683        346.048        340.250        4.86601
           4684           4684        346.132        340.333          4.866
           4685           4685        346.215        340.417        4.86596
           4686           4686        346.300        340.500        4.86588
           4687           4687        346.384        340.583        4.86578
           4688           4688        346.463        340.667        4.86563
           4689           4689        346.546        340.750        4.86551
