Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\data\Sebastian_Rejman\Nasrin\2024_03_27_TGA of 9 Sample\NF_TGA_001_004_PVC-high weight.tg8d 
Operator ID:	 
Sample ID:	NF_TGA_001_PVC-high weight_004 
Comment: 	 
Serial Number:	526B20120104 
Data Collected:	01/04/2024 18:40:22 
Sample Weight:	0.845 mg 
Display Weight:	0.845 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\PW 20230705.tg8c 
Date/Time:	06/07/2023 11:54:27 
Initial Conditions 
Temperature:	 50.00 °C 
Baseline Filename:	 
End Condition:	Go To:	50.00°C 
Total Points in Run:	12577 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 45.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 50.00°C 
 
2)	Heat from 50.00°C to 130.00°C at 5.00°C/min 
 
3)	Hold for 20.0 min at 130.00°C 
 
4)	Heat from 130.00°C to 600.00°C at 5.00°C/min 
 
5)	Hold for 5.0 min at 600.00°C 
 
6)	Cool from 600.00°C to 50.00°C at 500.00°C/min 
 
7)	Hold for 20.0 min at 50.00°C 
 
8)	Heat from 50.00°C to 800.00°C at 20.00°C/min 
		Switch the Gas to Oxygen at 45.0 ml/min  
			Action occurs Immediately 
 
9)	Hold for 15.0 min at 800.00°C 
		Switch the Gas to Nitrogen at 45.0 ml/min  
			Action occurs Immediately 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Sample     	Balance      
	0.866667	0.842415	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.883333	0.842449	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.900000	0.842449	0.000000	50.000000	50.010000	44.900000	70.000000 
	0.916667	0.842483	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.933333	0.842483	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.950000	0.842517	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.966667	0.842517	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.983333	0.842551	0.000000	50.000000	50.000000	44.900000	70.000000 
	1.000000	0.842551	0.000000	50.070000	50.030000	44.900000	70.000000 
	1.016667	0.842585	0.000000	50.160000	50.050000	44.900000	70.000000 
	1.033333	0.842619	0.000000	50.240000	50.110000	44.900000	70.000000 
	1.050000	0.842619	0.000000	50.320000	50.200000	44.900000	70.000000 
	1.066667	0.842652	0.000000	50.410000	50.280000	44.900000	70.000000 
	1.083333	0.842652	0.000000	50.490000	50.350000	44.900000	70.000000 
	1.100000	0.842686	0.000000	50.570000	50.410000	44.900000	70.000000 
	1.116667	0.842720	0.000000	50.660000	50.480000	44.900000	70.000000 
	1.133333	0.842754	0.000000	50.740000	50.530000	44.900000	70.000000 
	1.150000	0.842788	0.000000	50.820000	50.590000	44.900000	70.000000 
	1.166667	0.842788	0.000000	50.910000	50.660000	44.900000	70.000000 
	1.183333	0.842856	0.000000	50.990000	50.730000	44.900000	70.000000 
	1.200000	0.842890	0.000000	51.070000	50.820000	44.900000	70.000000 
	1.216667	0.842890	0.000000	51.160000	50.910000	44.900000	70.000000 
	1.233333	0.842923	0.000000	51.240000	51.000000	44.900000	70.000000 
	1.250000	0.842923	0.000000	51.320000	51.080000	44.900000	70.000000 
	1.266667	0.842957	0.000000	51.410000	51.150000	44.900000	70.000000 
	1.283333	0.842991	0.000000	51.490000	51.210000	44.900000	70.000000 
	1.300000	0.842991	0.000000	51.570000	51.270000	44.900000	70.000000 
	1.316667	0.843025	0.000000	51.660000	51.340000	44.900000	70.000000 
	1.333333	0.843025	0.000000	51.740000	51.400000	44.900000	70.000000 
	1.350000	0.843059	0.000000	51.820000	51.480000	44.900000	70.000000 
	1.366667	0.843093	0.000000	51.910000	51.560000	44.900000	69.900000 
	1.383333	0.843127	0.000000	51.990000	51.660000	44.900000	70.000000 
	1.400000	0.843161	0.000000	52.070000	51.760000	44.900000	70.000000 
	1.416667	0.843194	0.000000	52.160000	51.860000	44.900000	70.000000 
	1.433333	0.843228	0.000000	52.240000	51.950000	44.900000	69.900000 
	1.450000	0.843262	0.000000	52.320000	52.020000	44.900000	70.000000 
	1.466667	0.843296	0.000000	52.410000	52.080000	44.900000	70.000000 
	1.483333	0.843330	0.000000	52.490000	52.130000	44.900000	69.900000 
	1.500000	0.843364	0.000000	52.570000	52.180000	44.900000	69.900000 
	1.516667	0.843398	0.000000	52.660000	52.250000	44.900000	70.000000 
	1.533333	0.843398	0.000000	52.740000	52.320000	44.900000	70.000000 
	1.550000	0.843432	0.000000	52.820000	52.410000	44.900000	69.900000 
	1.566667	0.843499	0.000000	52.910000	52.520000	45.000000	70.000000 
	1.583333	0.843533	0.000000	52.990000	52.630000	44.900000	70.000000 
	1.600000	0.843567	0.000000	53.070000	52.750000	44.900000	70.000000 
	1.616667	0.843567	0.000000	53.160000	52.860000	44.900000	70.000000 
	1.633333	0.843567	0.000000	53.240000	52.950000	44.900000	70.000000 
	1.650000	0.843567	0.000000	53.320000	53.020000	44.900000	70.000000 
	1.666667	0.843567	0.000000	53.410000	53.080000	44.900000	70.000000 
	1.683333	0.843533	0.000000	53.490000	53.120000	44.900000	69.900000 
	1.700000	0.843499	0.000000	53.570000	53.170000	44.900000	70.000000 
	1.716667	0.843465	0.000000	53.660000	53.230000	44.900000	70.000000 
	1.733333	0.843465	0.000000	53.740000	53.300000	44.900000	69.900000 
	1.750000	0.843465	0.000000	53.820000	53.400000	44.900000	70.000000 
	1.766667	0.843465	0.000000	53.910000	53.510000	44.900000	70.000000 
	1.783333	0.843465	0.000000	53.990000	53.620000	44.900000	70.000000 
	1.800000	0.843465	0.000000	54.070000	53.720000	44.900000	69.900000 
